dataset,seed,method,eps,attack_success_rate,attacked_accuracy,median_min_flip_linf,reachable_fraction
mfeat_morphological,6,cart_pruned,0.05,0.0285714285714285,0.7214285714285714,0.4356385046470561,1.0
mfeat_morphological,6,cart_tuned_depth,0.05,0.1457142857142857,0.7114285714285714,0.1787962079554638,1.0
mfeat_morphological,6,mags_binary_excluded,0.05,0.0428571428571428,0.6442857142857142,0.4356385389871962,1.0
mfeat_morphological,6,mags_fixed,0.05,0.0428571428571428,0.6442857142857142,0.4356385389871962,1.0
mfeat_morphological,6,mags_tuned,0.05,0.18,0.7028571428571428,0.2073029338135497,1.0
mfeat_morphological,6,matched_gini,0.05,0.0385714285714285,0.5714285714285714,0.4356385389871962,1.0
mfeat_morphological,6,noise_augmented_cart,0.05,0.0142857142857142,0.5714285714285714,0.4535150239207483,1.0
mfeat_morphological,7,cart_fixed,0.05,0.04,0.7071428571428572,0.5294707678298747,1.0
mfeat_morphological,7,cart_pruned,0.05,0.0514285714285714,0.7014285714285714,0.6040459940703027,1.0
mfeat_morphological,7,cart_tuned_depth,0.05,0.0728571428571428,0.7028571428571428,0.3056364962828223,1.0
mfeat_morphological,7,mags_binary_excluded,0.05,0.0557142857142857,0.6914285714285714,0.3752973238685935,1.0
mfeat_morphological,7,mags_fixed,0.05,0.0557142857142857,0.6914285714285714,0.3752973238685935,1.0
mfeat_morphological,7,mags_tuned,0.05,0.1842857142857142,0.71,0.2035295717754182,1.0
mfeat_morphological,7,matched_gini,0.05,0.0557142857142857,0.6914285714285714,0.3752973238685935,1.0
mfeat_morphological,7,noise_augmented_cart,0.05,0.0357142857142857,0.7042857142857143,0.4494610643473855,1.0
mfeat_morphological,8,cart_fixed,0.05,0.0357142857142857,0.6457142857142857,0.3987421705011019,1.0
mfeat_morphological,8,cart_pruned,0.05,0.0228571428571428,0.6785714285714286,0.4363599251298831,1.0
mfeat_morphological,8,cart_tuned_depth,0.05,0.1514285714285714,0.6785714285714286,0.1192663142756053,1.0
mfeat_morphological,8,mags_binary_excluded,0.05,0.0485714285714285,0.6457142857142857,0.4363599506935144,1.0
mfeat_morphological,8,mags_fixed,0.05,0.0485714285714285,0.6457142857142857,0.4363599506935144,1.0
mfeat_morphological,8,mags_tuned,0.05,0.09,0.6885714285714286,0.3734258436877921,1.0
mfeat_morphological,8,matched_gini,0.05,0.06,0.6342857142857142,0.4363599506935144,1.0
mfeat_morphological,8,noise_augmented_cart,0.05,0.0242857142857142,0.6471428571428571,0.417863014855611,1.0
mfeat_morphological,9,cart_fixed,0.05,0.0457142857142857,0.6971428571428572,0.4543086055440022,1.0
mfeat_morphological,9,cart_pruned,0.05,0.0857142857142857,0.6871428571428572,0.2615374935376192,1.0
mfeat_morphological,9,cart_tuned_depth,0.05,0.1371428571428571,0.6757142857142857,0.1699067425148589,1.0
mfeat_morphological,9,mags_binary_excluded,0.05,0.0414285714285714,0.69,0.4397063047526695,1.0
mfeat_morphological,9,mags_fixed,0.05,0.0414285714285714,0.69,0.4397063047526695,1.0
mfeat_morphological,9,mags_tuned,0.05,0.1414285714285714,0.69,0.210318826352393,1.0
mfeat_morphological,9,matched_gini,0.05,0.0642857142857142,0.6857142857142857,0.4019870770787596,1.0
mfeat_morphological,9,noise_augmented_cart,0.05,0.0228571428571428,0.7,0.3910694380755172,1.0
mfeat_morphological,10,cart_fixed,0.05,0.0242857142857142,0.7057142857142857,0.5400546279542958,1.0
mfeat_morphological,10,cart_pruned,0.05,0.0671428571428571,0.7128571428571429,0.4205615884761216,1.0
mfeat_morphological,10,cart_tuned_depth,0.05,0.1528571428571428,0.6985714285714286,0.1529930411798851,1.0
mfeat_morphological,10,mags_binary_excluded,0.05,0.0771428571428571,0.6971428571428572,0.3831822424097316,1.0
mfeat_morphological,10,mags_fixed,0.05,0.0771428571428571,0.6971428571428572,0.3831822424097316,1.0
mfeat_morphological,10,mags_tuned,0.05,0.1071428571428571,0.6914285714285714,0.2894773493850975,1.0
mfeat_morphological,10,matched_gini,0.05,0.0771428571428571,0.6971428571428572,0.3831822424097316,1.0
mfeat_morphological,10,noise_augmented_cart,0.05,0.0328571428571428,0.7028571428571428,0.5104178647475967,1.0
mfeat_morphological,11,cart_fixed,0.05,0.0271428571428571,0.6957142857142857,0.4143660306451364,1.0
mfeat_morphological,11,cart_pruned,0.05,0.0628571428571428,0.6914285714285714,0.3232516213674428,1.0
mfeat_morphological,11,cart_tuned_depth,0.05,0.0871428571428571,0.7071428571428572,0.1822267980918505,1.0
mfeat_morphological,11,mags_binary_excluded,0.05,0.06,0.6885714285714286,0.4353325288616853,1.0
mfeat_morphological,11,mags_fixed,0.05,0.06,0.6885714285714286,0.4353325288616853,1.0
mfeat_morphological,11,mags_tuned,0.05,0.07,0.6971428571428572,0.321550914216924,1.0
mfeat_morphological,11,matched_gini,0.05,0.0585714285714285,0.6885714285714286,0.4353325288616853,1.0
mfeat_morphological,11,noise_augmented_cart,0.05,0.0171428571428571,0.6985714285714286,0.3725616460090663,1.0
mfeat_morphological,12,cart_fixed,0.05,0.0314285714285714,0.7057142857142857,0.424296550871574,1.0
mfeat_morphological,12,cart_pruned,0.05,0.0671428571428571,0.7085714285714285,0.2899327100408162,1.0
mfeat_morphological,12,cart_tuned_depth,0.05,0.1485714285714285,0.7042857142857143,0.1693151509053178,1.0
mfeat_morphological,12,mags_binary_excluded,0.05,0.0628571428571428,0.69,0.3969471150171511,1.0
mfeat_morphological,12,mags_fixed,0.05,0.0628571428571428,0.69,0.3969471150171511,1.0
mfeat_morphological,12,mags_tuned,0.05,0.1242857142857142,0.69,0.2405754017271356,1.0
mfeat_morphological,12,matched_gini,0.05,0.06,0.6914285714285714,0.4161168311358394,1.0
mfeat_morphological,12,noise_augmented_cart,0.05,0.0385714285714285,0.6857142857142857,0.4451203788618731,1.0
mfeat_morphological,13,cart_fixed,0.05,0.03,0.6671428571428571,0.4773562555729942,1.0
mfeat_morphological,13,cart_pruned,0.05,0.06,0.6914285714285714,0.439909237024985,1.0
mfeat_morphological,13,cart_tuned_depth,0.05,0.03,0.6671428571428571,0.4773562555729942,1.0
mfeat_morphological,13,mags_binary_excluded,0.05,0.0628571428571428,0.6828571428571428,0.4390742420533183,1.0
